date,f__Adoxaceae_g__Sambucus,f__Adoxaceae_g__Viburnum,f__Amaranthaceae_g__Amaranthus,f__Amaranthaceae_g__Celosia,f__Amaryllidaceae_g__Allium,f__Araliaceae_g__Aralia,f__Araliaceae_g__Hedera,f__Asteraceae_g__Ageratina,f__Asteraceae_g__Ageratum,f__Asteraceae_g__Ambrosia,f__Asteraceae_g__Arctium,f__Asteraceae_g__Aster,f__Asteraceae_g__Boltonia,f__Asteraceae_g__Centaurea,f__Asteraceae_g__Cichorium,f__Asteraceae_g__Cirsium,f__Asteraceae_g__Conoclinium,f__Asteraceae_g__Coreopsis,f__Asteraceae_g__Cosmos,f__Asteraceae_g__Echinacea,f__Asteraceae_g__Erechtites,f__Asteraceae_g__Eupatorium,f__Asteraceae_g__Eurybia,f__Asteraceae_g__Eutrochium,f__Asteraceae_g__Gaillardia,f__Asteraceae_g__Helianthus,f__Asteraceae_g__Heliopsis,f__Asteraceae_g__Lactuca,f__Asteraceae_g__Leucanthemum,f__Asteraceae_g__Liatris,f__Asteraceae_g__Ratibida,f__Asteraceae_g__Rudbeckia,f__Asteraceae_g__Silphium,f__Asteraceae_g__Solidago,f__Asteraceae_g__Sonchus,f__Asteraceae_g__Symphyotrichum,f__Asteraceae_g__Taraxacum,f__Asteraceae_g__Verbesina,f__Asteraceae_g__Vernonia,f__Asteraceae_g__Zinnia,f__Balsaminaceae_g__Impatiens,f__Bignoniaceae_g__Campsis,f__Brassicaceae_g__Brassica,f__Brassicaceae_g__Diplotaxis,f__Butomaceae_g__Butomus,f__Campanulaceae_g__Campanula,f__Cannabaceae_g__Humulus,f__Cleomaceae_g__Tarenaya,f__Convolvulaceae_g__Convolvulus,f__Crassulaceae_g__Hylotelephium,f__Cucurbitaceae_g__Cucumis,f__Euphorbiaceae_g__Euphorbia,f__Fabaceae_g__Chamaecrista,f__Fabaceae_g__Lotus,f__Fabaceae_g__Melilotus,f__Fabaceae_g__Securigera,f__Fabaceae_g__Trifolium,f__Fagaceae_g__Quercus,f__Hydrangeaceae_g__Hydrangea,f__Lamiaceae_g__Salvia,f__Lythraceae_g__Lythrum,f__Malvaceae_g__Tilia,f__Papaveraceae_g__Chelidonium,f__Papaveraceae_g__Macleaya,f__Phytolaccaceae_g__Phytolacca,f__Plantaginaceae_g__Plantago,f__Polygonaceae_g__Fallopia,f__Polygonaceae_g__Polygonum,f__Polygonaceae_g__Reynoutria,f__Ranunculaceae_g__Anemone,f__Ranunculaceae_g__Clematis,f__Rosaceae_g__Rosa,f__Rutaceae_g__Phellodendron,f__Scrophulariaceae_g__Buddleja,f__Solanaceae_g__Datura,f__Solanaceae_g__Lycium,f__Solanaceae_g__Solanum,f__Ulmaceae_g__Ulmus,f__Vitaceae_g__Parthenocissus
2014-07-02,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0.023666667,0,0,0,0,0,0,0.008,0,0,0.001666667,0,0,0.026,0,0,0,0,0,0,0,0,0,0.062,0,0,0.002666667,0,0,0,0,0,0,0,0.15,0.01,0.134666667,0.359333333,0,0.059666667,0,0,0.029,0,0,0.004,0.016,0,0,0,0,0,0,0,0,0,0,0,0,0.009666667
2014-07-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006333333,0,0,0,0,0,0,0,0,0,0.005333333,0,0,0,0,0.001,0,0,0,0,0.003333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101333333,0.001333333,0.146,0.416333333,0,0.229333333,0,0,0,0,0.069333333,0,0.017,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-07-15,0,0,0,0,0,0,0,0,0,0,0.001333333,0,0,0,0,0,0,0.001,0,0.007,0,0,0,0,0,0,0,0,0,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0.039,0,0,0,0,0,0,0,0,0,0,0.323333333,0.002,0.161666667,0.382666667,0,0,0,0.043333333,0,0,0.002,0,0.019666667,0,0,0,0,0,0,0,0,0.002,0,0,0,0.007333333
2014-07-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.153666667,0,0,0,0.015333333,0,0,0,0,0,0.033666667,0,0,0.001333333,0,0,0,0,0,0,0.009666667,0,0,0,0,0,0,0,0.037,0,0,0,0,0,0.203,0,0,0.377333333,0,0.001666667,0,0,0,0,0.057333333,0.007,0.098,0,0.001333333,0,0,0,0,0,0,0,0,0,0,0
2014-07-31,0,0,0,0,0,0,0,0,0.011333333,0,0.009666667,0,0,0,0.006666667,0,0,0.007333333,0.007,0.159333333,0,0,0,0.001333333,0,0.005,0.001666667,0,0.005333333,0.111666667,0,0.089666667,0.001666667,0,0.001,0,0.001,0,0,0.003666667,0.005,0.001333333,0,0,0,0,0,0,0,0,0.006333333,0,0,0.246666667,0,0.003,0.120333333,0,0.165333333,0,0.012666667,0,0,0,0.005333333,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-07,0,0.016666667,0,0,0,0,0.001333333,0,0,0,0.023333333,0,0,0,0.003666667,0,0,0,0,0.063,0,0.001333333,0,0.006666667,0,0,0.055,0.004,0,0,0,0.003,0.128666667,0,0,0,0,0.001333333,0,0.001,0,0,0,0,0,0,0,0,0,0,0.004666667,0,0,0.027666667,0,0,0.307333333,0,0.229333333,0.003666667,0.066333333,0,0,0,0.013666667,0.034,0,0,0,0,0,0,0,0,0,0,0.001,0,0
2014-08-13,0,0,0,0,0.005,0.049,0.009,0,0.001666667,0.001666667,0.004333333,0,0,0.001333333,0,0.001,0,0.001,0,0.022333333,0,0.005333333,0,0.003,0,0.005333333,0.036,0,0,0.009,0,0.152,0.112333333,0,0,0,0,0.003,0,0.006333333,0.004,0.001,0,0,0.003,0.002,0,0,0,0,0.006666667,0,0.002,0.002666667,0,0,0.300333333,0,0.210333333,0,0,0,0,0,0.016666667,0.003333333,0,0,0,0,0,0,0.001,0,0,0.007333333,0,0.004,0
2014-08-21,0,0,0,0,0,0.012333333,0.105,0,0.021666667,0.005,0,0,0,0,0,0,0,0,0,0.002,0,0.001333333,0,0.016666667,0,0.002666667,0.073,0,0,0,0,0,0.179666667,0,0,0,0,0.004333333,0.001333333,0.002333333,0.070333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.217666667,0,0.220666667,0,0,0,0.004666667,0,0.007,0.005666667,0,0,0,0,0.039,0,0,0.003,0,0,0,0,0
2014-08-28,0,0,0,0,0.078666667,0,0.182333333,0.005,0,0,0.001333333,0,0,0,0,0,0.02,0,0,0,0,0.008666667,0,0,0,0.001,0.008333333,0,0,0,0.001333333,0.045333333,0.029,0,0,0,0,0.010333333,0,0.004333333,0.044666667,0,0,0.007333333,0.002,0,0,0,0,0.007,0,0,0,0,0,0,0.184,0,0.170666667,0,0,0,0,0,0.009333333,0.015666667,0,0,0,0,0.155666667,0,0,0,0,0,0,0,0
2014-09-09,0,0,0,0,0.050333333,0,0.223333333,0.001333333,0,0,0,0,0,0,0.004,0,0.005,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0.002333333,0,0,0,0,0,0,0.003333333,0.087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.174666667,0,0.124,0,0,0,0,0,0,0.002666667,0,0,0,0,0.317333333,0,0,0,0,0,0,0,0
2014-09-12,0,0.019666667,0,0,0.032,0,0.239333333,0.169333333,0,0,0,0,0,0,0,0,0.020666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.079333333,0,0,0,0,0,0.001,0.024,0,0.001333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0.164,0,0.020333333,0,0,0,0,0,0,0.010333333,0,0,0,0.016333333,0.194666667,0.004333333,0,0,0,0,0,0,0
2014-09-19,0,0,0,0,0,0,0.076666667,0,0,0,0,0,0.003333333,0,0,0,0,0,0.001333333,0,0,0,0.014333333,0,0,0,0,0,0,0,0.036666667,0,0,0.097333333,0,0.113333333,0.001333333,0,0,0.028333333,0.064,0,0,0,0,0,0,0,0,0.001,0.004,0,0,0,0,0,0.207666667,0.038,0.097666667,0,0,0,0,0,0,0.001666667,0,0,0,0.068,0.143,0,0,0,0,0,0,0,0
2014-09-22,0,0,0,0.011333333,0,0,0.017666667,0.065666667,0,0,0,0,0,0,0,0,0.001666667,0,0,0,0,0,0.039666667,0,0.001333333,0.005,0,0,0,0,0,0,0,0.08,0,0.154666667,0.001,0,0,0.024333333,0.103333333,0,0,0,0,0,0,0,0,0,0.002666667,0,0,0,0,0,0.166333333,0.016333333,0.074666667,0,0,0,0,0,0,0,0.001333333,0.001333333,0.004,0.182,0,0.04,0,0,0,0,0,0,0
